'sheng'li'de'rong'guang 胜利的荣光
'zhan'zheng'nv'shen'de'chui'qing 战争女神的垂青
'la'nuo'xi'ya'de'jing'ying'lie'shou 拉诺西亚的精英猎手
'hei'yi'sen'lin'de'jing'ying'lie'shou 黑衣森林的精英猎手
'sa'na'lan'de'jing'ying'lie'shou 萨纳兰的精英猎手
'ku'er'zha'si'de'jing'ying'lie'shou 库尔札斯的精英猎手
'mo'du'na'de'jing'ying'lie'shou 摩杜纳的精英猎手
'si'po'xie'ling'ku'de'jing'ying'lie'shou 斯珀谢灵窟的精英猎手
'man'zu'jing'ying'lie'shou 蛮族精英猎手
'jing'ying'sha'shou 精英杀手
'yan'shen'jian'mie 炎神歼灭
'xian'wang'jian'mie 贤王歼灭
'feng'shen'jian'mie 风神歼灭
'li'jian'zhong'de'ling'wu 利剑中的领悟
'dou'quan'zhong'de'ling'wu 斗拳中的领悟
'da'fu'zhong'de'ling'wu 大斧中的领悟
'jian'qiang'zhong'de'ling'wu 尖枪中的领悟
'jian'shi'zhong'de'ling'wu 箭矢中的领悟
'shang'wu'zhi'yong'zhe 尚武之勇者
'huan'shu'zhong'de'ling'wu 幻术中的领悟
'zhou'shu'zhong'de'ling'wu 咒术中的领悟
'yu'mo'zhi'zhi'zhe 御魔之智者
'ba'zhong'zhi'dao'de'tan'jiu'zhe 八重之道的探究者
'mu'gong'zhong'de'ling'wu 木工中的领悟
'duan'ye'zhong'de'ling'wu 锻冶中的领悟
'jia'zhou'zhong'de'ling'wu 甲胄中的领悟
'diao'jin'zhong'de'ling'wu 雕金中的领悟
'pi'ge'zhong'de'ling'wu 皮革中的领悟
'cai'feng'zhong'de'ling'wu 裁缝中的领悟
'lian'jin'zhong'de'ling'wu 炼金中的领悟
'peng'diao'zhong'de'ling'wu 烹调中的领悟
'bo'xue'zhi'qiao'zhe 博学之巧者
'kuang'shi'zhong'de'ling'wu 矿石中的领悟
'cao'mu'zhong'de'ling'wu 草木中的领悟
'chui'diao'zhong'de'ling'wu 垂钓中的领悟
'guang'shi'zhi'xian'zhe 广识之贤者
